component_id,component_type,adi,cv2,unit_price,annual_demand,true_class
COMP-0106,gasket,0.7039,0.1556,3172.51,196.4,smooth
COMP-0107,filter,1.035,0.2315,3606.27,192.7,smooth
COMP-0108,motor,1.1223,0.3794,3664.74,88.6,smooth
COMP-0109,bearing,0.9987,0.2986,1448.26,147.0,smooth
COMP-0110,motor,1.105,0.1817,214.33,155.7,smooth
COMP-0111,seal,0.9644,0.4245,2063.76,158.9,smooth
COMP-0112,motor,0.7458,0.2611,4624.26,164.7,smooth
COMP-0113,pump,0.5,0.2547,3870.87,173.2,smooth
COMP-0114,filter,0.9135,0.3982,4292.05,1.9,smooth
COMP-0115,filter,0.9088,0.4498,1195.92,170.7,smooth
COMP-0116,filter,0.8879,0.3743,2955.7,80.0,smooth
COMP-0117,filter,0.8484,0.3869,1716.22,143.8,smooth
COMP-0118,bearing,1.136,0.4295,2045.63,28.2,smooth
COMP-0119,pump,1.0104,0.4291,1967.92,183.1,smooth
COMP-0120,filter,0.9683,0.1011,345.16,41.2,smooth
COMP-0121,motor,0.7095,0.2222,2107.71,191.9,smooth
COMP-0122,seal,1.1061,0.2555,4486.01,47.8,smooth
COMP-0123,motor,0.8757,0.3954,2957.82,131.0,smooth
COMP-0124,pump,0.8617,0.1417,785.65,175.0,smooth
COMP-0125,filter,0.853,0.2634,2197.55,95.8,smooth
COMP-0126,pump,1.2371,0.3063,4513.74,157.7,smooth
COMP-0127,seal,0.8,0.2636,4777.19,103.0,smooth
COMP-0128,filter,0.9338,0.0636,523.98,9.2,smooth
COMP-0129,valve,0.8329,0.0749,1569.72,11.1,smooth
COMP-0130,gasket,0.899,0.0906,1517.34,79.4,smooth
COMP-0131,seal,0.925,0.0506,16.15,102.1,smooth
COMP-0132,motor,0.9643,0.1766,3905.1,168.4,smooth
COMP-0133,motor,0.8406,0.1725,3419.46,46.4,smooth
COMP-0134,gasket,0.8511,0.4797,760.77,10.4,smooth
COMP-0135,valve,0.5565,0.2304,3104.54,49.1,smooth
COMP-0136,bearing,3.1646,0.2743,33.66,170.8,intermittent
COMP-0137,motor,3.3193,0.1118,1278.77,183.8,intermittent
COMP-0138,pump,2.8088,0.2793,1814.07,162.8,intermittent
COMP-0139,seal,2.387,0.3537,2075.99,64.2,intermittent
COMP-0140,valve,1.6421,0.0613,104.98,33.9,intermittent
COMP-0141,pump,3.6481,0.3191,4451.2,119.2,intermittent
COMP-0142,seal,1.7907,0.1046,872.99,102.0,intermittent
COMP-0143,seal,4.8197,0.082,4487.54,176.2,intermittent
COMP-0144,bearing,3.0622,0.2863,262.09,119.3,intermittent
COMP-0145,valve,2.3137,0.3022,2982.61,47.0,intermittent
COMP-0146,bearing,4.1091,0.1464,2772.17,79.8,intermittent
COMP-0147,valve,3.5006,0.3258,4917.25,84.4,intermittent
COMP-0148,pump,2.9952,0.0547,2605.95,82.2,intermittent
COMP-0149,valve,1.6916,0.3881,755.38,192.3,intermittent
COMP-0150,filter,1.9532,0.1258,4563.79,43.2,intermittent
COMP-0151,filter,2.8564,0.3287,2589.93,148.6,intermittent
COMP-0152,seal,3.6665,0.3475,532.03,180.9,intermittent
COMP-0153,gasket,3.8764,0.441,4896.33,76.1,intermittent
COMP-0154,bearing,3.6299,0.3873,1602.47,122.1,intermittent
COMP-0155,filter,3.2011,0.2055,2343.52,40.2,intermittent
COMP-0156,motor,2.5693,0.1998,822.73,137.2,intermittent
COMP-0157,valve,2.4524,0.4129,3769.99,176.3,intermittent
COMP-0158,bearing,2.2622,0.1268,2614.84,94.2,intermittent
COMP-0159,bearing,2.2043,0.0672,3266.07,99.6,intermittent
COMP-0160,motor,1.7431,0.1459,3826.37,175.5,intermittent
COMP-0161,seal,4.1951,0.4241,368.39,28.4,intermittent
COMP-0162,motor,2.5859,0.3021,2716.4,33.9,intermittent
COMP-0163,seal,2.1851,0.1109,3678.3,59.9,intermittent
COMP-0164,filter,2.5509,0.2038,3864.04,42.2,intermittent
COMP-0165,pump,4.3188,0.0958,1330.05,169.4,intermittent
COMP-0166,bearing,1.9564,0.2072,1233.84,142.3,intermittent
COMP-0167,gasket,4.0391,0.3823,1249.55,49.7,intermittent
COMP-0168,gasket,1.8999,0.4072,3889.02,104.0,intermittent
COMP-0169,pump,2.9209,0.2513,667.46,26.0,intermittent
COMP-0170,gasket,4.352,0.2332,826.25,111.3,intermittent
COMP-0171,bearing,1.7772,0.2963,3044.56,93.5,intermittent
COMP-0172,seal,2.6414,0.2521,4943.13,163.8,intermittent
COMP-0173,pump,3.699,0.2281,1713.52,11.0,intermittent
COMP-0174,motor,2.4615,0.3519,3756.68,158.9,intermittent
COMP-0175,seal,2.0571,0.401,21.52,198.7,intermittent
COMP-0176,filter,2.2708,0.0736,653.86,31.3,intermittent
COMP-0177,filter,3.3601,0.1993,3633.64,92.8,intermittent
COMP-0178,seal,3.4458,0.2779,4750.8,69.2,intermittent
COMP-0179,filter,1.9494,0.3077,2253.67,178.6,intermittent
COMP-0180,bearing,3.7238,0.4269,3303.38,61.2,intermittent
COMP-0181,seal,4.3374,0.1892,2813.48,144.2,intermittent
COMP-0182,seal,2.9777,0.3947,3238.89,69.1,intermittent
COMP-0183,pump,2.6653,0.2172,3340.77,131.4,intermittent
COMP-0184,bearing,3.455,0.0575,997.07,155.9,intermittent
COMP-0185,valve,4.068,0.1437,1383.01,28.6,intermittent
COMP-0186,bearing,2.2789,0.3064,1020.59,108.9,intermittent
COMP-0187,pump,3.5743,0.4121,3131.14,64.8,intermittent
COMP-0188,valve,4.426,0.2019,125.91,80.6,intermittent
COMP-0189,valve,4.1128,0.2819,4271.38,65.1,intermittent
COMP-0190,motor,3.0881,0.2361,1677.22,49.6,intermittent
COMP-0191,motor,4.2293,0.4011,3727.51,153.2,intermittent
COMP-0192,motor,3.764,0.2326,1208.73,129.3,intermittent
COMP-0193,seal,2.2969,0.148,1102.09,163.4,intermittent
COMP-0194,seal,3.9531,0.2208,4197.48,28.5,intermittent
COMP-0195,gasket,3.8004,0.094,971.03,31.6,intermittent
COMP-0196,motor,2.7107,0.2855,4904.3,14.9,intermittent
COMP-0197,gasket,1.8278,0.3505,3320.63,23.3,intermittent
COMP-0198,motor,3.9808,0.117,2765.4,100.7,intermittent
COMP-0199,bearing,3.5271,0.298,2587.13,19.9,intermittent
COMP-0200,motor,3.6563,0.4211,2311.43,85.5,intermittent
COMP-0201,seal,1.5594,0.3055,4162.28,164.4,intermittent
COMP-0202,pump,2.6917,0.1722,4008.93,98.8,intermittent
COMP-0203,motor,4.1684,0.1047,776.09,107.2,intermittent
COMP-0204,bearing,1.5647,0.1689,183.84,130.8,intermittent
COMP-0205,bearing,3.9517,0.1138,4117.39,108.2,intermittent
COMP-0206,motor,3.9395,0.0852,3691.61,52.2,intermittent
COMP-0207,pump,3.7322,0.2416,1845.84,44.6,intermittent
COMP-0208,gasket,2.046,0.3356,439.05,36.1,intermittent
COMP-0209,filter,1.9436,0.3628,694.68,131.1,intermittent
COMP-0210,motor,2.7911,0.1993,4878.22,174.7,intermittent
COMP-0211,motor,1.9961,0.1339,3676.28,113.7,intermittent
COMP-0212,seal,3.1078,0.3648,142.62,10.8,intermittent
COMP-0213,seal,3.2648,0.2348,3791.97,165.5,intermittent
COMP-0214,seal,3.1398,0.1964,2614.37,63.6,intermittent
COMP-0215,filter,2.7994,0.2035,3234.99,35.2,intermittent
COMP-0216,motor,4.1598,0.2286,4678.35,12.8,intermittent
COMP-0217,seal,2.0671,0.2726,1078.32,20.7,intermittent
COMP-0218,filter,2.0417,0.2106,682.11,172.2,intermittent
COMP-0219,motor,2.2934,0.1024,1034.9,177.8,intermittent
COMP-0220,filter,4.282,0.0879,585.48,124.3,intermittent
COMP-0221,bearing,1.7781,0.3739,2635.04,199.3,intermittent
COMP-0222,pump,1.5369,0.2025,4743.74,115.8,intermittent
COMP-0223,seal,3.8992,0.1147,2473.42,194.2,intermittent
COMP-0224,gasket,2.5803,0.2011,648.98,64.9,intermittent
COMP-0225,bearing,1.9989,0.0892,1799.78,82.3,intermittent
COMP-0226,filter,2.7377,0.2906,4664.57,78.9,intermittent
COMP-0227,seal,2.4207,0.2214,3297.18,111.3,intermittent
COMP-0228,gasket,2.3942,0.1814,482.25,34.0,intermittent
COMP-0229,pump,3.6417,0.1979,3780.14,52.2,intermittent
COMP-0230,gasket,3.963,0.4025,3348.05,11.5,intermittent
COMP-0231,motor,4.3311,0.1991,33.05,8.7,intermittent
COMP-0232,filter,3.6797,0.3906,2487.12,93.7,intermittent
COMP-0233,motor,1.417,0.3489,1871.57,113.5,intermittent
COMP-0234,motor,2.2381,0.111,2487.99,107.8,intermittent
COMP-0235,pump,4.3928,0.4162,2975.42,175.8,intermittent
COMP-0236,valve,2.5608,0.0884,2414.0,113.3,intermittent
COMP-0237,motor,4.4446,0.2807,2093.92,24.6,intermittent
COMP-0238,seal,3.8637,0.3683,1525.95,175.0,intermittent
COMP-0239,gasket,1.4743,0.2478,825.32,134.0,intermittent
COMP-0240,filter,2.5411,0.2931,1079.49,28.8,intermittent
COMP-0241,valve,2.2974,0.1466,4872.34,17.1,intermittent
COMP-0242,pump,3.4202,0.3811,2150.84,86.8,intermittent
COMP-0243,gasket,1.5113,0.2531,211.59,141.5,intermittent
COMP-0244,motor,2.6406,0.5146,596.35,12.9,lumpy
COMP-0245,bearing,3.9876,0.1092,2841.57,80.0,intermittent
COMP-0246,motor,2.7795,0.074,1560.16,38.7,intermittent
COMP-0247,gasket,2.5439,0.4913,4879.73,168.6,lumpy
COMP-0248,pump,4.3245,0.0982,2732.92,109.2,intermittent
COMP-0249,pump,4.1867,0.4193,2287.46,77.9,intermittent
COMP-0250,gasket,2.2252,0.2995,2235.9,186.2,intermittent
COMP-0251,motor,1.0306,0.608,4878.92,44.5,erratic
COMP-0252,valve,0.9785,2.0947,1189.44,10.8,erratic
COMP-0253,valve,0.7829,0.6545,4563.12,107.9,erratic
COMP-0254,gasket,1.038,0.8831,3092.77,173.0,erratic
COMP-0255,filter,1.0205,1.1017,1897.77,154.4,erratic
COMP-0256,motor,0.9919,0.8516,3269.43,134.9,erratic
COMP-0257,motor,0.9348,0.9273,4683.98,38.4,erratic
COMP-0258,valve,0.7579,1.3711,2545.88,87.9,erratic
COMP-0259,motor,1.2372,1.3524,343.46,119.0,erratic
COMP-0260,seal,1.1601,1.5909,4484.81,95.6,erratic
COMP-0261,pump,0.7326,1.9067,2146.57,127.9,erratic
COMP-0262,pump,1.1624,1.5913,3316.02,134.7,erratic
COMP-0263,filter,1.2187,1.162,2533.75,147.6,erratic
COMP-0264,pump,0.9482,0.9056,664.46,40.5,erratic
COMP-0265,pump,1.0385,1.783,562.51,191.3,erratic
COMP-0266,valve,0.7834,0.8762,2651.66,176.7,erratic
COMP-0267,pump,1.1107,1.7185,2397.24,30.3,erratic
COMP-0268,seal,0.8477,1.0587,2755.7,141.3,erratic
COMP-0269,filter,0.7378,1.3439,4077.21,90.2,erratic
COMP-0270,pump,1.1431,0.9472,890.01,94.0,erratic
COMP-0271,valve,0.9117,0.9475,1371.29,27.0,erratic
COMP-0272,seal,0.937,1.0499,1187.63,152.9,erratic
COMP-0273,bearing,1.2022,1.3716,4994.16,123.1,erratic
COMP-0274,motor,1.1805,2.0492,2310.05,17.1,erratic
COMP-0275,gasket,0.7085,1.3374,2845.16,110.9,erratic
COMP-0276,seal,1.1518,0.7293,3967.09,169.7,erratic
COMP-0277,valve,1.2372,1.9903,2014.29,54.3,erratic
COMP-0278,seal,1.0274,2.099,2789.44,60.0,erratic
COMP-0279,bearing,1.1062,0.8371,3409.83,39.2,erratic
COMP-0280,pump,0.7947,1.8898,4567.29,28.9,erratic
COMP-0281,motor,1.066,1.8939,4822.95,53.7,erratic
COMP-0282,valve,0.9322,1.2637,3881.2,154.6,erratic
COMP-0283,filter,0.9043,1.928,2860.13,198.8,erratic
COMP-0284,bearing,0.7209,0.8932,4051.6,18.7,erratic
COMP-0285,valve,0.9134,1.7827,985.52,82.6,erratic
COMP-0286,valve,0.9589,1.972,3455.11,196.6,erratic
COMP-0287,bearing,0.9224,1.2155,3651.78,151.2,erratic
COMP-0288,valve,0.7528,1.3226,935.02,93.3,erratic
COMP-0289,gasket,0.8563,1.8635,1337.49,55.6,erratic
COMP-0290,pump,0.8376,0.7728,2016.22,45.7,erratic
COMP-0291,gasket,0.9206,1.2588,1062.56,183.6,erratic
COMP-0292,pump,1.1595,1.9498,262.17,173.6,erratic
COMP-0293,filter,0.8651,1.5712,3906.38,187.8,erratic
COMP-0294,bearing,1.0933,1.278,2642.01,149.2,erratic
COMP-0295,seal,1.1431,1.7864,1199.31,101.1,erratic
COMP-0296,bearing,0.9728,1.5114,3936.59,182.7,erratic
COMP-0297,valve,0.8332,1.7653,950.77,159.3,erratic
COMP-0298,gasket,1.2187,1.741,4921.08,71.1,erratic
COMP-0299,valve,1.0446,1.332,2067.75,175.2,erratic
COMP-0300,bearing,0.8534,1.8499,4900.09,176.8,erratic
COMP-0301,valve,0.8627,1.8208,3295.82,166.1,erratic
COMP-0302,filter,0.7132,0.9133,2821.98,99.6,erratic
COMP-0303,pump,0.7298,1.1247,1988.22,189.1,erratic
COMP-0304,bearing,0.7275,1.787,4334.38,149.5,erratic
COMP-0305,seal,1.1783,0.9063,1236.04,46.9,erratic
COMP-0306,pump,0.7147,2.1316,3181.45,149.1,erratic
COMP-0307,bearing,0.9871,1.3356,1015.66,177.7,erratic
COMP-0308,filter,1.1383,1.1268,713.73,194.5,erratic
COMP-0309,pump,1.1876,2.0711,1066.74,18.9,erratic
COMP-0310,valve,0.7649,0.6677,379.55,27.4,erratic
COMP-0311,bearing,1.1467,1.5074,4412.05,128.1,erratic
COMP-0312,filter,0.9819,1.726,1736.86,94.1,erratic
COMP-0313,seal,0.7916,1.8643,1239.3,168.6,erratic
COMP-0314,valve,0.8783,1.682,397.95,153.2,erratic
COMP-0315,filter,0.8661,0.9074,1482.15,114.2,erratic
COMP-0316,motor,0.8565,1.4646,3055.57,125.1,erratic
COMP-0317,gasket,0.7729,1.6943,379.61,89.9,erratic
COMP-0318,filter,0.9209,0.6931,2210.4,148.8,erratic
COMP-0319,bearing,0.828,1.9191,2368.05,100.3,erratic
COMP-0320,pump,1.0346,2.0812,2648.0,120.8,erratic
COMP-0321,filter,1.0983,0.6686,4609.21,99.2,erratic
COMP-0322,gasket,0.9529,2.1376,912.61,44.2,erratic
COMP-0323,seal,0.7514,0.5509,3670.0,7.4,erratic
COMP-0324,pump,1.0078,0.8046,845.15,125.7,erratic
COMP-0325,seal,0.8762,1.6086,1161.09,181.3,erratic
COMP-0326,pump,0.9701,1.7976,4994.15,45.6,erratic
COMP-0327,filter,0.8549,0.9632,4967.68,198.1,erratic
COMP-0328,filter,0.9845,1.6044,4665.34,41.6,erratic
COMP-0329,motor,0.9854,1.9242,4928.25,197.0,erratic
COMP-0330,gasket,1.1893,1.8674,1611.04,109.9,erratic
COMP-0331,seal,1.0028,1.3841,3748.38,67.4,erratic
COMP-0332,seal,0.8786,0.7599,4254.1,89.8,erratic
COMP-0333,valve,0.823,1.8029,1588.64,36.2,erratic
COMP-0334,bearing,0.7426,1.0332,118.4,169.9,erratic
COMP-0335,filter,0.7839,1.5508,368.27,160.7,erratic
COMP-0336,gasket,1.1822,0.5682,4520.48,110.3,erratic
COMP-0337,bearing,0.781,0.8846,3001.14,190.7,erratic
COMP-0338,pump,0.9668,1.0454,1804.73,45.7,erratic
COMP-0339,seal,0.7248,1.1312,2201.5,129.2,erratic
COMP-0340,bearing,1.0296,1.8315,3561.41,21.5,erratic
COMP-0341,valve,0.9565,1.5456,1125.72,91.5,erratic
COMP-0342,bearing,0.9235,0.8415,4629.18,41.1,erratic
COMP-0343,gasket,1.202,0.5795,70.14,152.8,erratic
COMP-0344,motor,1.2239,2.0447,2756.11,16.6,erratic
COMP-0345,gasket,1.1589,1.5628,2863.49,31.6,erratic
COMP-0346,seal,1.0995,0.6738,4246.4,95.0,erratic
COMP-0347,bearing,0.9753,1.0652,1851.25,35.8,erratic
COMP-0348,pump,0.8186,1.3155,3673.39,43.8,erratic
COMP-0349,pump,1.1642,1.174,3097.12,185.4,erratic
COMP-0350,valve,0.8393,1.6933,761.49,18.6,erratic
COMP-0351,bearing,1.0468,1.2019,1681.88,169.3,erratic
COMP-0352,valve,0.9808,1.9405,4765.35,130.5,erratic
COMP-0353,valve,0.7626,2.0104,771.92,137.8,erratic
COMP-0354,bearing,0.7256,1.0229,2210.98,83.5,erratic
COMP-0355,seal,1.0619,0.9659,552.25,3.7,erratic
COMP-0356,filter,0.8341,1.3033,4053.41,76.2,erratic
COMP-0357,pump,0.997,1.4734,510.43,156.8,erratic
COMP-0358,seal,1.2089,0.5867,3821.58,57.7,erratic
COMP-0359,motor,1.1253,1.5934,221.31,89.5,erratic
COMP-0360,motor,0.9954,0.7921,4938.36,4.2,erratic
COMP-0361,bearing,0.9444,1.9404,4890.45,95.5,erratic
COMP-0362,gasket,0.7707,0.6353,1336.39,101.3,erratic
COMP-0363,pump,0.749,1.249,4855.96,52.5,erratic
COMP-0364,gasket,0.9725,1.9682,1404.64,171.2,erratic
COMP-0365,valve,0.9105,1.4257,1513.99,7.2,erratic
COMP-0366,valve,0.9116,0.8803,914.79,135.3,erratic
COMP-0367,seal,0.8423,1.1361,2337.88,72.9,erratic
COMP-0368,pump,1.1604,1.4937,4501.46,69.2,erratic
COMP-0369,motor,0.721,1.3661,3738.08,27.0,erratic
COMP-0370,valve,1.1357,2.0959,3554.69,143.0,erratic
COMP-0371,bearing,1.2361,1.1135,2670.92,36.4,erratic
COMP-0372,gasket,1.0311,0.5733,1330.23,8.9,erratic
COMP-0373,pump,0.7585,0.9464,1403.98,39.4,erratic
COMP-0374,bearing,0.9045,1.1855,1646.34,18.9,erratic
COMP-0375,filter,0.7136,0.8835,4643.35,101.3,erratic
COMP-0376,motor,3.0487,1.0691,3826.14,169.0,lumpy
COMP-0377,filter,4.1761,1.2667,1549.21,185.9,lumpy
COMP-0378,pump,1.6925,2.1905,475.42,131.6,lumpy
COMP-0379,pump,1.506,1.8208,4285.73,20.5,lumpy
COMP-0380,filter,2.2191,1.1489,1969.75,85.6,lumpy
COMP-0381,motor,4.1262,0.9961,1645.76,101.0,lumpy
COMP-0382,seal,2.695,0.9747,767.49,71.0,lumpy
COMP-0383,motor,3.1539,1.2321,4849.16,157.2,lumpy
COMP-0384,valve,4.3995,1.9329,2637.04,34.8,lumpy
COMP-0385,valve,3.9365,1.5139,584.78,113.2,lumpy
COMP-0386,motor,3.6352,0.6471,4081.35,14.4,lumpy
COMP-0387,seal,2.988,0.9766,4685.89,179.1,lumpy
COMP-0388,bearing,1.9765,1.0834,3593.13,89.1,lumpy
COMP-0389,pump,1.8845,0.7218,4363.93,97.0,lumpy
COMP-0390,gasket,4.2593,0.6948,4648.86,189.6,lumpy
COMP-0391,pump,2.3756,1.136,958.33,179.8,lumpy
COMP-0392,seal,1.8624,1.769,1701.69,131.4,lumpy
COMP-0393,seal,1.6915,2.1173,690.99,64.7,lumpy
COMP-0394,motor,2.5419,1.4363,312.55,74.4,lumpy
COMP-0395,filter,2.1891,1.1868,3138.49,78.2,lumpy
COMP-0396,valve,2.4707,1.4309,1900.55,117.9,lumpy
COMP-0397,motor,4.3952,1.4113,303.01,86.4,lumpy
COMP-0398,pump,3.5648,2.1781,473.0,112.8,lumpy
COMP-0399,bearing,1.7923,1.79,4348.12,126.2,lumpy
COMP-0400,pump,3.2986,1.795,4346.58,8.2,lumpy
COMP-0401,pump,3.1242,0.9068,2106.91,38.4,lumpy
COMP-0402,filter,2.451,1.7112,476.98,177.7,lumpy
COMP-0403,valve,3.7691,0.8797,3543.84,122.5,lumpy
COMP-0404,motor,2.5136,0.8791,34.24,146.2,lumpy
COMP-0405,valve,4.3415,1.7982,2186.32,65.6,lumpy
COMP-0406,gasket,3.0173,1.2614,4491.62,199.0,lumpy
COMP-0407,pump,1.6441,1.1847,1444.49,35.7,lumpy
COMP-0408,seal,3.7686,1.3689,172.64,14.3,lumpy
COMP-0409,seal,2.6501,0.6825,1052.71,40.4,lumpy
COMP-0410,motor,3.1783,1.3717,1889.91,165.5,lumpy
COMP-0411,valve,1.8296,1.2568,1854.16,114.0,lumpy
COMP-0412,motor,1.7739,0.7547,3621.49,14.2,lumpy
COMP-0413,gasket,3.7405,1.7689,1181.17,110.1,lumpy
COMP-0414,pump,2.7214,1.8626,2508.3,197.8,lumpy
COMP-0415,bearing,1.8498,2.0597,3429.22,53.4,lumpy
COMP-0416,filter,2.6976,1.1549,2316.52,66.1,lumpy
COMP-0417,bearing,2.347,0.9639,4361.8,120.8,lumpy
COMP-0418,valve,1.8147,1.6949,1195.3,31.0,lumpy
COMP-0419,valve,1.4267,0.628,233.95,149.9,lumpy
